Log for:/srv/http/tid4k/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2023-03-02T19:02:34Z
#=#=#=#=# Propagation starts 2023-03-02T19:02:38Z (last step: 4598 msec , total: 4598 msec) 
2023-03-02T19:02:39Z | pages/config.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677351557 | 80452e69ba0bf33178b69ae78a698a01 | 331 | 00194659oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fde5cb15-ba63-4158-b28e-fa200e79c4fa | 
2023-03-02T19:02:39Z | include/qr_code_generator.varianta2.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677432359 | ba0d6e6caa78c6d4651a4e8e43681c8d | 989 | 00194660oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 96ebf1ad-69c4-4e70-a0b8-cc7063a70e14 | 
2023-03-02T19:02:39Z | include/qr_code_generator.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677431450 | 0509bcd1cad0d052430efb93cadac577 | 614 | 00194661oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 511c660a-e4bc-4c97-b01a-5eb484be1a09 | 
2023-03-02T19:02:39Z | pages/welcome.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677438611 | 2e0179175422ccb0ac57c61acc1caf35 | 1025 | 00194662oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c8d60020-6fbf-4185-92a4-f5734f6d89df | 
2023-03-02T19:02:40Z | generate_qr.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677652769 | 887ab4f0546d3da4b38d7818835edfce | 279 | 00194536oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | a751cb5c-7930-4b5b-bf74-3a3df2b97337 | 
2023-03-02T19:02:40Z | index.copie.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677484000 | 5cfc02b34caebcd3d343a6ea8a78c0c1 | 388 | 00194537oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | a9416c0b-545f-41d8-897e-b2a30d7c4f08 | 
2023-03-02T19:02:40Z | phpinfo.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677679034 | e1f800207d86220a12e7147e161375fa | 20 | 00194538oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 667ce713-e1e1-4c54-b4b9-683771a7bddd | 
2023-03-02T19:02:40Z | config.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677440596 | 21425260177b0b782eb3c5aee47b7b54 | 418 | 00194480oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 5e321a8e-ed63-4bb9-beef-8dfc2cef5ea5 | 
2023-03-02T19:02:41Z | qr_code_generator.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677431450 | ba8473e9355a6ebb72b559852ae40305 | 614 | 00194468oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | c734fca5-a6d3-41d6-a984-6c4a3d483089 | 
2023-03-02T19:02:41Z | qr_code_generator.varianta2.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677432359 | f0e159525802b8f1dacfadd88b065642 | 989 | 00194469oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | d7a1467f-3e06-4e42-81be-6838a92bc16e | 
2023-03-02T19:02:41Z | qr_code.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677748519 | 85242f6518d8e5cee334d24b5d43d201 | 485 | 00194654oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 9ff4de8a-0ae7-4973-b37a-7ffada3b4062 | 
